userId,rank,movieId,title,genres,score
1,1,364,"Lion King, The (1994)",Animation|Children's|Musical,0.9137431
1,2,2096,Sleeping Beauty (1959),Animation|Children's|Musical,0.8925595
1,3,318,"Shawshank Redemption, The (1994)",Drama,0.89116114
1,4,34,Babe (1995),Children's|Comedy|Drama,0.874782
1,5,1282,Fantasia (1940),Animation|Children's|Musical,0.87293136
1,6,953,It's a Wonderful Life (1946),Drama,0.8644609
1,7,2087,Peter Pan (1953),Animation|Children's|Fantasy|Musical,0.8504329
1,8,2081,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,0.84061825
1,9,1225,Amadeus (1984),Drama,0.83999634
1,10,1032,Alice in Wonderland (1951),Animation|Children's|Musical,0.836383
2,1,1704,Good Will Hunting (1997),Drama,0.909792
2,2,527,Schindler's List (1993),Drama|War,0.86966586
2,3,150,Apollo 13 (1995),Drama,0.85313135
2,4,1302,Field of Dreams (1989),Drama,0.8225861
2,5,1231,"Right Stuff, The (1983)",Drama,0.81937456
2,6,3098,"Natural, The (1984)",Drama,0.8022522
2,7,1961,Rain Man (1988),Drama,0.8007953
2,8,1393,Jerry Maguire (1996),Drama|Romance,0.7999629
2,9,953,It's a Wonderful Life (1946),Drama,0.78666955
2,10,1580,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,0.77443826
3,1,110,Braveheart (1995),Action|Drama|War,0.90415335
3,2,1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,0.87716115
3,3,2791,Airplane! (1980),Comedy,0.8738095
3,4,2028,Saving Private Ryan (1998),Action|Drama|War,0.85739094
3,5,2797,Big (1988),Comedy|Fantasy,0.8438747
3,6,2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama,0.8282465
3,7,2174,Beetlejuice (1988),Comedy|Fantasy,0.81687397
3,8,2804,"Christmas Story, A (1983)",Comedy|Drama,0.8165436
3,9,457,"Fugitive, The (1993)",Action|Thriller,0.81403756
3,10,592,Batman (1989),Action|Adventure|Crime|Drama,0.80983156
4,1,858,"Godfather, The (1972)",Action|Crime|Drama,0.9052878
4,2,1304,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,0.8888058
4,3,2949,Dr. No (1962),Action,0.88593924
4,4,2944,"Dirty Dozen, The (1967)",Action|War,0.87766737
4,5,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,0.86633134
4,6,1221,"Godfather: Part II, The (1974)",Action|Crime|Drama,0.8564879
4,7,2948,From Russia with Love (1963),Action,0.8535356
4,8,1262,"Great Escape, The (1963)",Adventure|War,0.84929085
4,9,969,"African Queen, The (1951)",Action|Adventure|Romance|War,0.83979356
4,10,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,0.8366814
5,1,223,Clerks (1994),Comedy,0.9108588
5,2,778,Trainspotting (1996),Drama,0.88531446
5,3,2396,Shakespeare in Love (1998),Comedy|Romance,0.8823426
5,4,3160,Magnolia (1999),Drama,0.87996006
5,5,1673,Boogie Nights (1997),Drama,0.86905456
5,6,2336,Elizabeth (1998),Drama,0.8585417
5,7,1094,"Crying Game, The (1992)",Drama|Romance|War,0.85179186
5,8,3481,High Fidelity (2000),Comedy,0.8479049
5,9,247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,0.83294684
5,10,2710,"Blair Witch Project, The (1999)",Horror,0.8287029
6,1,899,Singin' in the Rain (1952),Musical|Romance,0.91862214
6,2,2080,Lady and the Tramp (1955),Animation|Children's|Comedy|Musical|Romance,0.9168286
6,3,1022,Cinderella (1950),Animation|Children's|Musical,0.8983816
6,4,919,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,0.84421897
6,5,2941,South Pacific (1958),Musical|Romance|War,0.83531696
6,6,2565,"King and I, The (1956)",Musical,0.8324294
6,7,1951,Oliver! (1968),Musical,0.81982183
6,8,1307,When Harry Met Sally... (1989),Comedy|Romance,0.7987726
6,9,3512,Return to Me (2000),Drama|Romance,0.7915448
6,10,356,Forrest Gump (1994),Comedy|Romance|War,0.7896406
7,1,1370,Die Hard 2 (1990),Action|Thriller,0.9051993
7,2,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,0.9016029
7,3,1036,Die Hard (1988),Action|Thriller,0.89272416
7,4,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,0.8911367
7,5,593,"Silence of the Lambs, The (1991)",Drama|Thriller,0.8844816
7,6,1198,Raiders of the Lost Ark (1981),Action|Adventure,0.88234496
7,7,1214,Alien (1979),Action|Horror|Sci-Fi|Thriller,0.87408876
7,8,10,GoldenEye (1995),Action|Adventure|Thriller,0.87388396
7,9,1608,Air Force One (1997),Action|Thriller,0.8691202
7,10,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,0.86722285
8,1,593,"Silence of the Lambs, The (1991)",Drama|Thriller,0.90343684
8,2,318,"Shawshank Redemption, The (1994)",Drama,0.88492554
8,3,356,Forrest Gump (1994),Comedy|Romance|War,0.8601525
8,4,1408,"Last of the Mohicans, The (1992)",Action|Romance|War,0.84684104
8,5,1358,Sling Blade (1996),Drama|Thriller,0.8408505
8,6,590,Dances with Wolves (1990),Adventure|Drama|Western,0.84011376
8,7,2890,Three Kings (1999),Drama|War,0.8350532
8,8,2762,"Sixth Sense, The (1999)",Thriller,0.8326501
8,9,780,Independence Day (ID4) (1996),Action|Sci-Fi|War,0.82881635
8,10,778,Trainspotting (1996),Drama,0.8226254
9,1,296,Pulp Fiction (1994),Crime|Drama,0.90561575
